Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Dribs_Tkl,Dribs_Att,Dribs_Tkl%,Dribs_Past,Prsrs_Press,Prsrs_Succ,Prsrs_%,Prsrs_Def 3rd,Prsrs_Mid 3rd,Prsrs_Att 3rd,Blks_Blocks,Blks_Sh,Blks_ShSv,Blks_Pass,Int,Tkl+Int,Clr,Err
Alex Telles,,,,38,26,38,13,11,2,15,24,62.5,9,79,23,29.1,33,29,17,16,3,0,13,63,33,24,0
Donny van de Beek,,,,33,14,35,4,9,1,6,21,28.6,15,105,23,21.9,26,49,30,10,1,0,9,25,21,2,0
